jeton_3.6.10.11	nom_propose	fiabilite_du_nom	signification_mesuree	fiabilite_du_jeton	direction	handler	forme_capturee	origen_jondo	source
lyf	AppearanceSlotSetRequestMessage	PROPOSÉ	Poner o vaciar un hueco concreto; sin variante, y sin objeto vacia el hueco.	FIABLE	C2S	AppearanceHandler.AssignAsync	f2: item, f3: slot	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lyj	AppearanceSlotSetResultMessage	PROPOSÉ	Acuse de recibo.	FIABLE	S2C_f3	AppearanceHandler	f3: 1	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lyk	AppearanceOpenRequestMessage	PROPOSÉ	Abrir la ventana de apariencia; no tiene respuesta propia.	FIABLE	C2S	AppearanceHandler.OpenAsync	empty	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lym			Lleva el aura en el flujo de apariencia (f1: id de aura, vacio si ninguna); en cada captura de equipar y desequipar lleva la constante 206, cuyo significado no esta establecido.	FIABLE	S2C	EquipmentHandler, AppearanceHandler.AuraAsync	f1: 206 on equip; f1: aura id or empty for the aura	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lys	AppearanceItemWearRequestMessage	PROPOSÉ	Ponerse una prenda dejando que el servidor elija el hueco; acepta una variante, que es lo que usan los objetos vivos para imitar una prenda u otra.	FIABLE	C2S	AppearanceHandler.WearAsync	f1: item, f2: variant	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lyt	OutfitsListMessage	PROPOSÉ	Los conjuntos guardados del guardarropa; obligatorio, sin el la ventana de cosmeticos suena y no se dibuja, muriendo en CosmeticUi.DisplayOutfit. En el replay se sustituye por los del personaje que juega.	FIABLE	S2C	BuildOutfits	f1 (rep): each saved outfit, f2: the one worn	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lyu	AppearanceSaveResultMessage	PROPOSÉ	Guardado confirmado.	FIABLE	S2C_f3	WardrobeHandler	f1: 1	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lyv	OrnamentSelectResultMessage	PROPOSÉ	Acuse de recibo.	FIABLE	S2C_f3	WardrobeHandler	f1: 1	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lyy	AppearanceStateRequestMessage	PROPOSÉ	Pedir el estado de la ventana.	FIABLE	C2S	AppearanceHandler.SendStateAsync	f1: character uuid	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lze	TitleSelectRequestMessage	PROPOSÉ	Elegir un titulo; solo toca el borrador. Un mensaje vacio significa ninguno.	FIABLE	C2S	WardrobeHandler.ChooseTitleAsync	f1: title, or empty for none	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lzh			Va justo antes de kmv y jrh al final de la entrada al mundo; el servidor contesta lzl.	FIABLE	C2S			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
lzl			La respuesta a lzh en la entrada al mundo.	FIABLE	S2C			estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
mfe			No implementado. Exclusivo de las capturas de canales de chat (Chats); el documento no indica direccion; 1 mensajes.	FIABLE				estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
mff			No implementado. Exclusivo de las capturas de canales de chat (Chats); el documento no indica direccion; 1 mensajes.	FIABLE				estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
mfo			No implementado. Exclusivo de las capturas de canales de chat (Chats); el documento no indica direccion; 1 mensajes.	FIABLE				estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
mfp			No implementado. Exclusivo de las capturas de canales de chat (Chats); el documento no indica direccion; 1 mensajes.	FIABLE				estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
mfx			No implementado. Exclusivo de las capturas de canales de chat (Chats); el documento no indica direccion; 1 mensajes.	FIABLE				estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
mgb			No implementado. Exclusivo de las capturas de canales de chat (Chats); el documento no indica direccion; 1 mensajes.	FIABLE				estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
mgz	ContentCatalogVersionMessage	PROPOSÉ	Identificador del catalogo de contenido; opaco, el cliente solo lo compara consigo mismo.	FIABLE	S2C	BuildWelcomeBurst	f1: 304672615	estructura	mapeo_3.6.10.10_a_3.6.10.11.tsv
